,Country,Sex,Year,Obesity (%),Region,BMI
112,Afghanistan,Male,2012,2.5 [1.1-5.0],South Asia,2.5
113,Afghanistan,Female,2012,6.3 [3.6-10.2],South Asia,6.3
114,Afghanistan,Both sexes,2013,4.7 [2.9-6.9],South Asia,4.7
115,Afghanistan,Male,2013,2.7 [1.1-5.3],South Asia,2.7
116,Afghanistan,Female,2013,6.6 [3.8-10.7],South Asia,6.6
117,Afghanistan,Both sexes,2014,4.9 [3.1-7.3],South Asia,4.9
118,Afghanistan,Male,2014,2.8 [1.2-5.6],South Asia,2.8
119,Afghanistan,Female,2014,7.0 [4.0-11.3],South Asia,7.0
120,Afghanistan,Both sexes,2015,5.2 [3.3-7.7],South Asia,5.2
121,Afghanistan,Male,2015,3.0 [1.3-6.0],South Asia,3.0
122,Afghanistan,Female,2015,7.3 [4.1-11.8],South Asia,7.3
123,Afghanistan,Both sexes,2016,5.5 [3.4-8.1],South Asia,5.5
124,Afghanistan,Male,2016,3.2 [1.3-6.4],South Asia,3.2
125,Afghanistan,Female,2016,7.6 [4.3-12.4],South Asia,7.6
1638,Bangladesh,Both sexes,1975,0.2 [0.1-0.5],South Asia,0.2
1639,Bangladesh,Male,1975,0.1 [0.0-0.3],South Asia,0.1
1640,Bangladesh,Female,1975,0.4 [0.1-0.9],South Asia,0.4
1641,Bangladesh,Both sexes,1976,0.2 [0.1-0.5],South Asia,0.2
1642,Bangladesh,Male,1976,0.1 [0.0-0.3],South Asia,0.1
1643,Bangladesh,Female,1976,0.4 [0.1-1.0],South Asia,0.4
1644,Bangladesh,Both sexes,1977,0.3 [0.1-0.5],South Asia,0.3
1645,Bangladesh,Male,1977,0.1 [0.0-0.3],South Asia,0.1
1646,Bangladesh,Female,1977,0.4 [0.1-1.0],South Asia,0.4
1647,Bangladesh,Both sexes,1978,0.3 [0.1-0.6],South Asia,0.3
1648,Bangladesh,Male,1978,0.1 [0.0-0.3],South Asia,0.1
1649,Bangladesh,Female,1978,0.5 [0.1-1.0],South Asia,0.5
1650,Bangladesh,Both sexes,1979,0.3 [0.1-0.6],South Asia,0.3
1651,Bangladesh,Male,1979,0.1 [0.0-0.3],South Asia,0.1
1652,Bangladesh,Female,1979,0.5 [0.2-1.1],South Asia,0.5
1653,Bangladesh,Both sexes,1980,0.3 [0.1-0.6],South Asia,0.3
1654,Bangladesh,Male,1980,0.1 [0.0-0.4],South Asia,0.1
1655,Bangladesh,Female,1980,0.5 [0.2-1.2],South Asia,0.5
1656,Bangladesh,Both sexes,1981,0.4 [0.2-0.7],South Asia,0.4
1657,Bangladesh,Male,1981,0.2 [0.0-0.4],South Asia,0.2
1658,Bangladesh,Female,1981,0.6 [0.2-1.2],South Asia,0.6
1659,Bangladesh,Both sexes,1982,0.4 [0.2-0.7],South Asia,0.4
1660,Bangladesh,Male,1982,0.2 [0.0-0.4],South Asia,0.2
1661,Bangladesh,Female,1982,0.6 [0.2-1.3],South Asia,0.6
1662,Bangladesh,Both sexes,1983,0.4 [0.2-0.7],South Asia,0.4
1663,Bangladesh,Male,1983,0.2 [0.1-0.4],South Asia,0.2
1664,Bangladesh,Female,1983,0.7 [0.3-1.3],South Asia,0.7
1665,Bangladesh,Both sexes,1984,0.4 [0.2-0.8],South Asia,0.4
1666,Bangladesh,Male,1984,0.2 [0.1-0.5],South Asia,0.2
1667,Bangladesh,Female,1984,0.7 [0.3-1.4],South Asia,0.7
1668,Bangladesh,Both sexes,1985,0.5 [0.2-0.8],South Asia,0.5
1669,Bangladesh,Male,1985,0.2 [0.1-0.5],South Asia,0.2
1670,Bangladesh,Female,1985,0.8 [0.3-1.5],South Asia,0.8
1671,Bangladesh,Both sexes,1986,0.5 [0.3-0.9],South Asia,0.5
1672,Bangladesh,Male,1986,0.2 [0.1-0.5],South Asia,0.2
1673,Bangladesh,Female,1986,0.8 [0.4-1.6],South Asia,0.8
1674,Bangladesh,Both sexes,1987,0.6 [0.3-0.9],South Asia,0.6
1675,Bangladesh,Male,1987,0.3 [0.1-0.6],South Asia,0.3
1676,Bangladesh,Female,1987,0.9 [0.4-1.6],South Asia,0.9
1677,Bangladesh,Both sexes,1988,0.6 [0.3-1.0],South Asia,0.6
1678,Bangladesh,Male,1988,0.3 [0.1-0.6],South Asia,0.3
1679,Bangladesh,Female,1988,1.0 [0.5-1.7],South Asia,1.0
1680,Bangladesh,Both sexes,1989,0.6 [0.4-1.0],South Asia,0.6
1681,Bangladesh,Male,1989,0.3 [0.1-0.7],South Asia,0.3
1682,Bangladesh,Female,1989,1.0 [0.5-1.8],South Asia,1.0
1683,Bangladesh,Both sexes,1990,0.7 [0.4-1.1],South Asia,0.7
1684,Bangladesh,Male,1990,0.3 [0.1-0.7],South Asia,0.3
1685,Bangladesh,Female,1990,1.1 [0.5-1.9],South Asia,1.1
1686,Bangladesh,Both sexes,1991,0.7 [0.4-1.2],South Asia,0.7
1687,Bangladesh,Male,1991,0.4 [0.1-0.8],South Asia,0.4
1688,Bangladesh,Female,1991,1.2 [0.6-2.0],South Asia,1.2
1689,Bangladesh,Both sexes,1992,0.8 [0.5-1.2],South Asia,0.8
1690,Bangladesh,Male,1992,0.4 [0.1-0.8],South Asia,0.4
1691,Bangladesh,Female,1992,1.2 [0.6-2.1],South Asia,1.2
1692,Bangladesh,Both sexes,1993,0.8 [0.5-1.3],South Asia,0.8
1693,Bangladesh,Male,1993,0.4 [0.2-0.9],South Asia,0.4
1694,Bangladesh,Female,1993,1.3 [0.7-2.2],South Asia,1.3
1695,Bangladesh,Both sexes,1994,0.9 [0.5-1.4],South Asia,0.9
1696,Bangladesh,Male,1994,0.5 [0.2-0.9],South Asia,0.5
1697,Bangladesh,Female,1994,1.4 [0.7-2.3],South Asia,1.4
1698,Bangladesh,Both sexes,1995,1.0 [0.6-1.4],South Asia,1.0
1699,Bangladesh,Male,1995,0.5 [0.2-1.0],South Asia,0.5
1700,Bangladesh,Female,1995,1.5 [0.8-2.4],South Asia,1.5
1701,Bangladesh,Both sexes,1996,1.0 [0.6-1.5],South Asia,1.0
1702,Bangladesh,Male,1996,0.5 [0.2-1.0],South Asia,0.5
1703,Bangladesh,Female,1996,1.6 [0.9-2.5],South Asia,1.6
1704,Bangladesh,Both sexes,1997,1.1 [0.7-1.6],South Asia,1.1
1705,Bangladesh,Male,1997,0.6 [0.2-1.1],South Asia,0.6
1706,Bangladesh,Female,1997,1.7 [0.9-2.6],South Asia,1.7
1707,Bangladesh,Both sexes,1998,1.2 [0.7-1.7],South Asia,1.2
1708,Bangladesh,Male,1998,0.6 [0.3-1.2],South Asia,0.6
1709,Bangladesh,Female,1998,1.8 [1.0-2.8],South Asia,1.8
1710,Bangladesh,Both sexes,1999,1.2 [0.8-1.8],South Asia,1.2
1711,Bangladesh,Male,1999,0.7 [0.3-1.2],South Asia,0.7
1712,Bangladesh,Female,1999,1.9 [1.1-2.9],South Asia,1.9
1713,Bangladesh,Both sexes,2000,1.3 [0.9-1.9],South Asia,1.3
1714,Bangladesh,Male,2000,0.7 [0.3-1.3],South Asia,0.7
1715,Bangladesh,Female,2000,2.0 [1.2-3.1],South Asia,2.0
1716,Bangladesh,Both sexes,2001,1.4 [0.9-2.0],South Asia,1.4
1717,Bangladesh,Male,2001,0.8 [0.3-1.4],South Asia,0.8
1718,Bangladesh,Female,2001,2.1 [1.2-3.2],South Asia,2.1
1719,Bangladesh,Both sexes,2002,1.5 [1.0-2.1],South Asia,1.5
1720,Bangladesh,Male,2002,0.8 [0.4-1.5],South Asia,0.8
1721,Bangladesh,Female,2002,2.2 [1.3-3.4],South Asia,2.2
1722,Bangladesh,Both sexes,2003,1.6 [1.1-2.2],South Asia,1.6
1723,Bangladesh,Male,2003,0.9 [0.4-1.6],South Asia,0.9
1724,Bangladesh,Female,2003,2.4 [1.4-3.6],South Asia,2.4
1725,Bangladesh,Both sexes,2004,1.7 [1.1-2.4],South Asia,1.7
1726,Bangladesh,Male,2004,0.9 [0.4-1.7],South Asia,0.9
1727,Bangladesh,Female,2004,2.5 [1.5-3.8],South Asia,2.5
1728,Bangladesh,Both sexes,2005,1.8 [1.2-2.5],South Asia,1.8
1729,Bangladesh,Male,2005,1.0 [0.5-1.8],South Asia,1.0
1730,Bangladesh,Female,2005,2.7 [1.6-3.9],South Asia,2.7
1731,Bangladesh,Both sexes,2006,1.9 [1.3-2.7],South Asia,1.9
1732,Bangladesh,Male,2006,1.1 [0.5-1.9],South Asia,1.1
1733,Bangladesh,Female,2006,2.8 [1.8-4.2],South Asia,2.8
1734,Bangladesh,Both sexes,2007,2.0 [1.4-2.8],South Asia,2.0
1735,Bangladesh,Male,2007,1.2 [0.6-2.0],South Asia,1.2
1736,Bangladesh,Female,2007,3.0 [1.9-4.4],South Asia,3.0
1737,Bangladesh,Both sexes,2008,2.2 [1.5-3.0],South Asia,2.2
1738,Bangladesh,Male,2008,1.3 [0.6-2.2],South Asia,1.3
1739,Bangladesh,Female,2008,3.2 [2.0-4.6],South Asia,3.2
1740,Bangladesh,Both sexes,2009,2.3 [1.6-3.2],South Asia,2.3
1741,Bangladesh,Male,2009,1.4 [0.7-2.3],South Asia,1.4
1742,Bangladesh,Female,2009,3.4 [2.1-4.9],South Asia,3.4
1743,Bangladesh,Both sexes,2010,2.5 [1.7-3.4],South Asia,2.5
1744,Bangladesh,Male,2010,1.5 [0.7-2.5],South Asia,1.5
1745,Bangladesh,Female,2010,3.6 [2.3-5.2],South Asia,3.6
1746,Bangladesh,Both sexes,2011,2.6 [1.8-3.6],South Asia,2.6
1747,Bangladesh,Male,2011,1.6 [0.8-2.7],South Asia,1.6
1748,Bangladesh,Female,2011,3.8 [2.4-5.5],South Asia,3.8
1749,Bangladesh,Both sexes,2012,2.8 [1.9-3.9],South Asia,2.8
1750,Bangladesh,Male,2012,1.7 [0.8-2.9],South Asia,1.7
1751,Bangladesh,Female,2012,4.0 [2.5-5.8],South Asia,4.0
1752,Bangladesh,Both sexes,2013,3.0 [2.0-4.1],South Asia,3.0
1753,Bangladesh,Male,2013,1.8 [0.9-3.2],South Asia,1.8
1754,Bangladesh,Female,2013,4.2 [2.7-6.2],South Asia,4.2
1755,Bangladesh,Both sexes,2014,3.2 [2.2-4.4],South Asia,3.2
1756,Bangladesh,Male,2014,2.0 [1.0-3.4],South Asia,2.0
1757,Bangladesh,Female,2014,4.4 [2.8-6.6],South Asia,4.4
1758,Bangladesh,Both sexes,2015,3.4 [2.3-4.7],South Asia,3.4
1759,Bangladesh,Male,2015,2.1 [1.0-3.7],South Asia,2.1
1760,Bangladesh,Female,2015,4.7 [2.9-7.0],South Asia,4.7
1761,Bangladesh,Both sexes,2016,3.6 [2.4-5.1],South Asia,3.6
1762,Bangladesh,Male,2016,2.3 [1.1-4.0],South Asia,2.3
1763,Bangladesh,Female,2016,5.0 [3.1-7.5],South Asia,5.0
2394,Bhutan,Both sexes,1975,0.4 [0.1-0.9],South Asia,0.4
2395,Bhutan,Male,1975,0.2 [0.0-0.6],South Asia,0.2
2396,Bhutan,Female,1975,0.6 [0.2-1.7],South Asia,0.6
2397,Bhutan,Both sexes,1976,0.4 [0.2-1.0],South Asia,0.4
2398,Bhutan,Male,1976,0.2 [0.0-0.6],South Asia,0.2
2399,Bhutan,Female,1976,0.7 [0.2-1.7],South Asia,0.7
2400,Bhutan,Both sexes,1977,0.5 [0.2-1.0],South Asia,0.5
2401,Bhutan,Male,1977,0.2 [0.0-0.7],South Asia,0.2
2402,Bhutan,Female,1977,0.7 [0.2-1.8],South Asia,0.7
2403,Bhutan,Both sexes,1978,0.5 [0.2-1.0],South Asia,0.5
2404,Bhutan,Male,1978,0.3 [0.1-0.7],South Asia,0.3
2405,Bhutan,Female,1978,0.8 [0.2-1.9],South Asia,0.8
2406,Bhutan,Both sexes,1979,0.5 [0.2-1.1],South Asia,0.5
2407,Bhutan,Male,1979,0.3 [0.1-0.7],South Asia,0.3
2408,Bhutan,Female,1979,0.8 [0.3-2.0],South Asia,0.8
2409,Bhutan,Both sexes,1980,0.6 [0.2-1.1],South Asia,0.6
2410,Bhutan,Male,1980,0.3 [0.1-0.8],South Asia,0.3
2411,Bhutan,Female,1980,0.9 [0.3-2.0],South Asia,0.9
2412,Bhutan,Both sexes,1981,0.6 [0.3-1.2],South Asia,0.6
2413,Bhutan,Male,1981,0.3 [0.1-0.8],South Asia,0.3
2414,Bhutan,Female,1981,1.0 [0.3-2.1],South Asia,1.0
2415,Bhutan,Both sexes,1982,0.7 [0.3-1.3],South Asia,0.7
2416,Bhutan,Male,1982,0.3 [0.1-0.8],South Asia,0.3
2417,Bhutan,Female,1982,1.0 [0.4-2.2],South Asia,1.0
2418,Bhutan,Both sexes,1983,0.7 [0.3-1.3],South Asia,0.7
2419,Bhutan,Male,1983,0.4 [0.1-0.9],South Asia,0.4
2420,Bhutan,Female,1983,1.1 [0.4-2.3],South Asia,1.1
2421,Bhutan,Both sexes,1984,0.8 [0.4-1.4],South Asia,0.8
2422,Bhutan,Male,1984,0.4 [0.1-1.0],South Asia,0.4
2423,Bhutan,Female,1984,1.2 [0.5-2.5],South Asia,1.2
2424,Bhutan,Both sexes,1985,0.8 [0.4-1.5],South Asia,0.8
2425,Bhutan,Male,1985,0.4 [0.1-1.0],South Asia,0.4
2426,Bhutan,Female,1985,1.3 [0.5-2.6],South Asia,1.3
2427,Bhutan,Both sexes,1986,0.9 [0.4-1.6],South Asia,0.9
2428,Bhutan,Male,1986,0.5 [0.1-1.1],South Asia,0.5
2429,Bhutan,Female,1986,1.4 [0.6-2.7],South Asia,1.4
2430,Bhutan,Both sexes,1987,1.0 [0.5-1.7],South Asia,1.0
2431,Bhutan,Male,1987,0.5 [0.2-1.2],South Asia,0.5
2432,Bhutan,Female,1987,1.5 [0.6-2.9],South Asia,1.5
2433,Bhutan,Both sexes,1988,1.0 [0.5-1.8],South Asia,1.0
2434,Bhutan,Male,1988,0.6 [0.2-1.2],South Asia,0.6
2435,Bhutan,Female,1988,1.6 [0.7-3.1],South Asia,1.6
2436,Bhutan,Both sexes,1989,1.1 [0.6-1.9],South Asia,1.1
2437,Bhutan,Male,1989,0.6 [0.2-1.3],South Asia,0.6
2438,Bhutan,Female,1989,1.7 [0.7-3.2],South Asia,1.7
2439,Bhutan,Both sexes,1990,1.2 [0.6-2.0],South Asia,1.2
2440,Bhutan,Male,1990,0.7 [0.2-1.4],South Asia,0.7
2441,Bhutan,Female,1990,1.8 [0.8-3.3],South Asia,1.8
2442,Bhutan,Both sexes,1991,1.3 [0.7-2.1],South Asia,1.3
2443,Bhutan,Male,1991,0.7 [0.2-1.5],South Asia,0.7
2444,Bhutan,Female,1991,1.9 [0.9-3.5],South Asia,1.9
2445,Bhutan,Both sexes,1992,1.4 [0.7-2.3],South Asia,1.4
2446,Bhutan,Male,1992,0.8 [0.3-1.6],South Asia,0.8
2447,Bhutan,Female,1992,2.1 [1.0-3.8],South Asia,2.1
2448,Bhutan,Both sexes,1993,1.5 [0.8-2.4],South Asia,1.5
2449,Bhutan,Male,1993,0.8 [0.3-1.8],South Asia,0.8
2450,Bhutan,Female,1993,2.2 [1.0-4.0],South Asia,2.2
2451,Bhutan,Both sexes,1994,1.6 [0.9-2.5],South Asia,1.6
2452,Bhutan,Male,1994,0.9 [0.3-1.9],South Asia,0.9
2453,Bhutan,Female,1994,2.4 [1.1-4.2],South Asia,2.4
2454,Bhutan,Both sexes,1995,1.7 [1.0-2.7],South Asia,1.7
2455,Bhutan,Male,1995,1.0 [0.4-2.0],South Asia,1.0
2456,Bhutan,Female,1995,2.5 [1.2-4.4],South Asia,2.5
2457,Bhutan,Both sexes,1996,1.8 [1.1-2.9],South Asia,1.8
2458,Bhutan,Male,1996,1.1 [0.4-2.2],South Asia,1.1
2459,Bhutan,Female,1996,2.7 [1.4-4.7],South Asia,2.7
2460,Bhutan,Both sexes,1997,2.0 [1.2-3.0],South Asia,2.0
2461,Bhutan,Male,1997,1.2 [0.5-2.3],South Asia,1.2
2462,Bhutan,Female,1997,2.9 [1.5-4.9],South Asia,2.9
2463,Bhutan,Both sexes,1998,2.1 [1.3-3.2],South Asia,2.1
2464,Bhutan,Male,1998,1.3 [0.5-2.5],South Asia,1.3
2465,Bhutan,Female,1998,3.1 [1.6-5.3],South Asia,3.1
2466,Bhutan,Both sexes,1999,2.3 [1.4-3.5],South Asia,2.3
2467,Bhutan,Male,1999,1.4 [0.6-2.7],South Asia,1.4
2468,Bhutan,Female,1999,3.3 [1.7-5.5],South Asia,3.3
2469,Bhutan,Both sexes,2000,2.4 [1.5-3.7],South Asia,2.4
2470,Bhutan,Male,2000,1.5 [0.7-2.9],South Asia,1.5
2471,Bhutan,Female,2000,3.6 [1.9-5.8],South Asia,3.6
2472,Bhutan,Both sexes,2001,2.6 [1.6-3.9],South Asia,2.6
2473,Bhutan,Male,2001,1.6 [0.7-3.1],South Asia,1.6
2474,Bhutan,Female,2001,3.8 [2.1-6.1],South Asia,3.8
2475,Bhutan,Both sexes,2002,2.8 [1.7-4.1],South Asia,2.8
2476,Bhutan,Male,2002,1.8 [0.8-3.3],South Asia,1.8
2477,Bhutan,Female,2002,4.0 [2.2-6.4],South Asia,4.0
2478,Bhutan,Both sexes,2003,3.0 [1.9-4.4],South Asia,3.0
2479,Bhutan,Male,2003,1.9 [0.9-3.5],South Asia,1.9
2480,Bhutan,Female,2003,4.3 [2.4-6.8],South Asia,4.3
2481,Bhutan,Both sexes,2004,3.2 [2.0-4.7],South Asia,3.2
2482,Bhutan,Male,2004,2.1 [1.0-3.8],South Asia,2.1
2483,Bhutan,Female,2004,4.6 [2.6-7.2],South Asia,4.6
2484,Bhutan,Both sexes,2005,3.4 [2.2-4.9],South Asia,3.4
2485,Bhutan,Male,2005,2.3 [1.1-4.1],South Asia,2.3
2486,Bhutan,Female,2005,4.9 [2.8-7.6],South Asia,4.9
2487,Bhutan,Both sexes,2006,3.6 [2.4-5.2],South Asia,3.6
2488,Bhutan,Male,2006,2.4 [1.2-4.3],South Asia,2.4
2489,Bhutan,Female,2006,5.2 [3.0-8.0],South Asia,5.2
2490,Bhutan,Both sexes,2007,3.9 [2.5-5.5],South Asia,3.9
2491,Bhutan,Male,2007,2.6 [1.3-4.6],South Asia,2.6
2492,Bhutan,Female,2007,5.5 [3.2-8.4],South Asia,5.5
2493,Bhutan,Both sexes,2008,4.1 [2.7-5.8],South Asia,4.1
2494,Bhutan,Male,2008,2.8 [1.4-4.9],South Asia,2.8
2495,Bhutan,Female,2008,5.8 [3.4-8.8],South Asia,5.8
2496,Bhutan,Both sexes,2009,4.4 [2.9-6.2],South Asia,4.4
2497,Bhutan,Male,2009,3.0 [1.5-5.3],South Asia,3.0
2498,Bhutan,Female,2009,6.1 [3.6-9.3],South Asia,6.1
2499,Bhutan,Both sexes,2010,4.6 [3.1-6.5],South Asia,4.6
2500,Bhutan,Male,2010,3.2 [1.6-5.6],South Asia,3.2
2501,Bhutan,Female,2010,6.4 [3.8-9.7],South Asia,6.4
2502,Bhutan,Both sexes,2011,4.9 [3.3-6.9],South Asia,4.9
2503,Bhutan,Male,2011,3.5 [1.7-6.0],South Asia,3.5
2504,Bhutan,Female,2011,6.7 [4.0-10.2],South Asia,6.7
